fips,rate
01,0.6809
02,0.6458
04,0.7722
05,0.7672
08,0.84
09,0.7592
10,0.6876
11,0.4127
12,0.7512
13,0.5862
16,0.8997
17,0.7153
18,0.8331
19,0.9002
20,0.8438
21,0.8695
22,0.6201
23,0.9431
24,0.5554
25,0.7807
26,0.7841
27,0.8285
28,0.5841
29,0.8216
30,0.8854
31,0.8706
32,0.6559
34,0.6778
35,0.7481
36,0.6366
37,0.6868
38,0.8658
39,0.813
40,0.7232
41,0.8429
42,0.8053
44,0.8046
45,0.6716
46,0.8427
47,0.7758
48,0.7397
49,0.8643
50,0.9416
51,0.6763
53,0.7538
54,0.9308
55,0.8543
56,0.9144
