fips,rate
01,0.4785
02,0.5651
04,0.573
05,0.5145
08,0.6645
09,0.7497
10,0.6447
11,0.6786
12,0.636
13,0.5134
16,0.4635
17,0.6451
18,0.5211
19,0.592
20,0.5227
21,0.5444
22,0.5048
23,0.761
24,0.7064
25,0.7487
26,0.5704
27,0.6572
28,0.4873
29,0.5315
30,0.5412
31,0.6013
32,0.5673
34,0.7081
35,0.6646
36,0.7213
37,0.5698
38,0.5281
39,0.5549
40,0.5373
41,0.6659
42,0.6415
44,0.7689
45,0.5336
46,0.5742
47,0.5157
48,0.5723
49,0.5901
50,0.7776
51,0.6828
53,0.6814
54,0.5526
55,0.6221
56,0.4774
